Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
laptop,121.000 ₫,56% Off,16 Đã bán,(6),Hà Nội,278.000 ₫,32.700 ₫,96%,100%,100%,0,0,0,0,6
laptop,1.290.000 ₫,,,,Bình Dương,,118.500 ₫,,,,0,0,0,0,0
laptop,3.390.000 ₫,15% Off,,(3),Hà Nội,4.000.000 ₫,52.400 ₫,91%,75%,100%,0,0,0,0,3
laptop,5.499.000 ₫,25% Off,130 Đã bán,(57),Hà Nội,7.299.000 ₫,74.400 ₫,96%,100%,100%,0,0,0,2,55
laptop,1.490.000 ₫,32% Off,10 Đã bán,(3),Hà Nội,2.200.000 ₫,55.400 ₫,95%,100%,100%,0,0,0,1,2
laptop,24.610.000 ₫,,6 Đã bán,,Hồ Chí Minh,,74.700 ₫,92%,20%,90%,0,0,0,0,0
laptop,5.618.818 ₫,57% Off,33 Đã bán,(19),Hồ Chí Minh,13.999.998 ₫,Miễn phí,97%,81%,100%,1,0,0,0,18
laptop,15.490.000 ₫,25% Off,20 Đã bán,(7),Hồ Chí Minh,20.590.000 ₫,20.700 ₫,98%,77%,66%,0,0,0,1,6
laptop,4.600.000 ₫,,,(1),Hưng Yên,,70.000 ₫,91%,65%,100%,0,0,0,0,1
laptop,3.900.000 ₫,,,,Hưng Yên,,70.000 ₫,91%,65%,100%,0,0,0,0,0
laptop,21.799.000 ₫,13% Off,8 Đã bán,,Hồ Chí Minh,25.000.000 ₫,23.800 ₫,93%,100%,,0,0,0,0,0
laptop,21.600.000 ₫,8% Off,,(1),Hồ Chí Minh,23.590.000 ₫,Miễn phí,94%,86%,100%,0,0,0,0,1
laptop,5.200.000 ₫,,,,Thanh Hóa,,100.600 ₫,,,,0,0,0,0,0
laptop,6.500.000 ₫,,19 Đã bán,(8),Hưng Yên,,70.000 ₫,91%,65%,100%,0,0,0,0,8
laptop,19.690.000 ₫,10% Off,,,Hồ Chí Minh,21.990.000 ₫,,96%,,83%,0,0,0,0,0
laptop,10.590.000 ₫,,,,Thanh Hóa,,56.800 ₫,96%,100%,75%,0,0,0,0,0
laptop,3.500.000 ₫,12% Off,10 Đã bán,(4),Hưng Yên,3.990.000 ₫,56.800 ₫,91%,65%,100%,0,0,0,0,4
laptop,48.683.200 ₫,,10 Đã bán,,Hà Nội,,74.400 ₫,92%,,,0,0,0,0,0
laptop,8.400.000 ₫,,16 Đã bán,(5),Hưng Yên,,70.000 ₫,91%,65%,100%,0,0,0,0,5
laptop,3.400.000 ₫,,12 Đã bán,(5),Hưng Yên,,70.000 ₫,91%,65%,100%,0,0,0,0,5
laptop,1.700.000 ₫,,,,Hưng Yên,,80.200 ₫,,,,0,0,0,0,0
laptop,7.156.999 ₫,53% Off,20 Đã bán,(4),Hải Phòng,14.099.999 ₫,Miễn phí,100%,100%,80%,0,0,0,0,4
laptop,29.990.000 ₫,25% Off,,,Hồ Chí Minh,39.999.000 ₫,Miễn phí,99%,97%,95%,0,0,0,0,0
laptop,27.990.000 ₫,26% Off,,,Hồ Chí Minh,37.999.000 ₫,Miễn phí,99%,97%,95%,0,0,0,0,0
laptop,2.990.000 ₫,,,,Hưng Yên,,70.000 ₫,91%,65%,100%,0,0,0,0,0
laptop,15.089.000 ₫,8% Off,,,Hồ Chí Minh,16.489.000 ₫,12.800 ₫,97%,98%,85%,0,0,0,0,0
laptop,350.000 ₫,,,,Tây Ninh,,48.200 ₫,97%,100%,80%,0,0,0,0,0
laptop,689.000 ₫,23% Off,8 Đã bán,(7),Hà Nội,899.000 ₫,38.000 ₫,97%,100%,100%,0,0,0,0,7
laptop,1.798.761 ₫,10% Off,19 Đã bán,(6),Hà Nội,4.290.000 ₫,84.600 ₫,94%,100%,76%,0,0,0,0,6
laptop,1.000.000 ₫,,81 Đã bán,(28),Hà Nội,,198.200 ₫,94%,20%,83%,2,1,1,3,21
laptop,990.000 ₫,1% Off,36 Đã bán,(15),Hải Dương,1.500.000 ₫,90.700 ₫,94%,100%,75%,1,0,1,0,13
laptop,1.799.000 ₫,,118 Đã bán,(35),Đồng Nai,,65.500 ₫,96%,50%,100%,0,0,0,1,35
laptop,2.300.000 ₫,47% Off,56 Đã bán,(25),Bình Dương,4.300.000 ₫,28.700 ₫,88%,100%,66%,3,2,1,2,17
laptop,6.614.299 ₫,27% Off,91 Đã bán,(49),Hồ Chí Minh,8.999.999 ₫,Miễn phí,96%,100%,,1,0,0,2,46
laptop,1.799.000 ₫,,146 Đã bán,(41),Đồng Nai,,65.500 ₫,99%,100%,100%,0,0,0,1,40
laptop,47.000 ₫,53% Off,18 Đã bán,(3),Hà Nội,129.000 ₫,32.700 ₫,99%,100%,100%,0,0,0,0,4
laptop,52.406 ₫,53% Off,1.6K Đã bán,(440),Hồ Chí Minh,151.000 ₫,17.000 ₫,93%,99%,100%,8,1,3,16,412
laptop,4.000.000 ₫,50% Off,,(1),Hồ Chí Minh,8.598.000 ₫,10.200 ₫,91%,100%,80%,0,0,0,0,1
laptop,2.550.000 ₫,49% Off,169 Đã bán,(50),Thái Bình,5.000.000 ₫,80.200 ₫,95%,100%,,2,0,0,2,46
laptop,3.300.000 ₫,43% Off,,,Hồ Chí Minh,6.500.000 ₫,23.800 ₫,96%,100%,100%,0,0,0,0,0
laptop,14.699.000 ₫,30% Off,38 Đã bán,(12),Hồ Chí Minh,21.000.000 ₫,23.800 ₫,100%,100%,100%,0,0,0,0,12
laptop,1.700.000 ₫,,17 Đã bán,(8),Hưng Yên,,56.800 ₫,91%,65%,100%,0,0,0,1,7
laptop,2.268.000 ₫,,,(1),Nghệ An,,56.800 ₫,94%,92%,92%,0,0,0,0,1
laptop,361.200 ₫,23% Off,,,Nước ngoài,469.560 ₫,Miễn phí,97%,100%,100%,0,0,0,0,0
laptop,2.848.000 ₫,,,(1),Nghệ An,,56.800 ₫,94%,92%,92%,0,0,0,0,1
laptop,3.788.000 ₫,12% Off,11 Đã bán,(5),Nghệ An,,63.300 ₫,94%,92%,92%,0,0,1,1,3
laptop,4.388.000 ₫,,,,Nghệ An,,63.300 ₫,94%,92%,92%,0,0,0,0,0
laptop,2.500.000 ₫,,,,Đồng Nai,,40.300 ₫,,,100%,0,0,0,0,0
laptop,195.000 ₫,38% Off,9 Đã bán,(9),Nước ngoài,312.000 ₫,,95%,,100%,0,0,0,0,9
laptop,3.890.000 ₫,15% Off,,(1),Hà Nội,4.600.000 ₫,52.400 ₫,91%,75%,100%,0,0,0,0,1
laptop,8.500.000 ₫,,,(1),Thanh Hóa,,Miễn phí,92%,,33%,0,0,0,0,1
laptop,3.800.000 ₫,,17 Đã bán,(5),Hưng Yên,,70.000 ₫,91%,65%,100%,1,0,1,0,3
laptop,2.358.000 ₫,15% Off,,(1),Nghệ An,2.788.000 ₫,63.300 ₫,94%,92%,92%,0,0,0,0,1
laptop,5.990.000 ₫,9% Off,,(2),Thanh Hóa,6.590.000 ₫,56.800 ₫,96%,100%,75%,1,0,0,0,1
laptop,47.990.000 ₫,,6 Đã bán,,Hồ Chí Minh,,45.100 ₫,,,,0,0,0,0,0
laptop,6.300.000 ₫,,15 Đã bán,(1),Hưng Yên,,70.000 ₫,91%,65%,100%,0,0,0,0,1
laptop,9.630.000 ₫,,19 Đã bán,,Hồ Chí Minh,,52.300 ₫,92%,20%,90%,0,0,0,0,0
laptop,22.990.000 ₫,43% Off,,,Hồ Chí Minh,39.999.000 ₫,Miễn phí,98%,98%,94%,0,0,0,0,0
laptop,2.990.000 ₫,,19 Đã bán,(9),Hưng Yên,,90.400 ₫,91%,65%,100%,0,0,0,1,8
