Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
tivi,1.480.000 ₫,,23 Đã bán,(9),Hà Nội,1.550.000 ₫,198.200 ₫,91%,95%,93%,0,0,1,0,9
tivi,3.440.000 ₫,Áp dụng voucher,6 Đã bán,,Hồ Chí Minh,7.999.000 ₫,52.300 ₫,97%,93%,100%,0,0,0,0,0
tivi,2.350.000 ₫,,62 Đã bán,(20),Hà Nội,,198.200 ₫,91%,95%,93%,0,1,1,1,18
tivi,320.000 ₫,,17 Đã bán,(6),Tiền Giang,,32.200 ₫,96%,100%,100%,0,0,0,0,6
tivi,270.000 ₫,,20 Đã bán,(8),Tiền Giang,,32.200 ₫,96%,100%,100%,0,0,0,0,8
tivi,8.992.000 ₫,,16 Đã bán,(5),Hồ Chí Minh,10.990.000 ₫,Miễn phí,96%,100%,100%,0,0,0,0,6
tivi,250.000 ₫,,165 Đã bán,(57),Hà Nội,,32.700 ₫,96%,100%,100%,0,2,1,2,52
tivi,160.000 ₫,,17 Đã bán,(5),Hồ Chí Minh,,16.500 ₫,99%,100%,,0,0,0,1,4
tivi,1.350.000 ₫,,,(1),Bình Dương,,65.500 ₫,,,,0,0,0,1,0
tivi,1.850.000 ₫,,12 Đã bán,(4),Hà Nội,,206.800 ₫,91%,95%,93%,0,0,0,0,4
tivi,1.419.000 ₫,,7 Đã bán,(3),Hà Nội,1.521.000 ₫,198.200 ₫,91%,90%,96%,1,0,0,0,2
tivi,330.000 ₫,,,,Tiền Giang,,28.700 ₫,96%,100%,100%,0,0,0,0,0
tivi,200.000 ₫,,14 Đã bán,(6),Hồ Chí Minh,,16.500 ₫,99%,100%,,0,0,0,0,6
tivi,600.000 ₫,,,,Hải Dương,,43.900 ₫,83%,100%,100%,0,0,0,0,0
tivi,4.290.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",52 Đã bán,(13),Hồ Chí Minh,4.590.000 ₫,Miễn phí,96%,100%,100%,0,0,0,1,13
tivi,2.550.000 ₫,,,,Hồ Chí Minh,,21.200 ₫,96%,,,0,0,0,0,0
tivi,1.248.000 ₫,,,(1),Hà Nội,1.350.000 ₫,104.900 ₫,91%,90%,96%,0,0,0,0,1
tivi,165.315 ₫,,6 Đã bán,(4),Hà Nội,169.000 ₫,38.000 ₫,97%,96%,70%,0,0,0,0,4
tivi,24.292.000 ₫,,5 Đã bán,(0),Hồ Chí Minh,25.990.000 ₫,Miễn phí,96%,100%,100%,0,0,0,0,1
